id	stage	section	subsection	caption	timing	who	illo	mood	bg	template	pack	file
LC-022	Pregnancy	Before you arrived	Medical & Memories	We felt you move	Weeks 18-28	Mama + Papa	tiny sparkles around mama bear's belly while papa bear watches	wonder	pale beige	T02 Couple Hero	Core	022_pregnancy_we_felt_you_move.png
LC-023	Pregnancy	Before you arrived	Pregnancy Monthly	One month pregnant	Month 1	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 1	calm	dusty cream	T03 Month Marker	Core	023_pregnancy_one_month_pregnant.png
LC-024	Pregnancy	Before you arrived	Pregnancy Monthly	Two months pregnant	Month 2	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 2	calm	dusty cream	T03 Month Marker	Core	024_pregnancy_two_months_pregnant.png
LC-025	Pregnancy	Before you arrived	Pregnancy Monthly	Three months pregnant	Month 3	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 3	calm	dusty cream	T03 Month Marker	Core	025_pregnancy_three_months_pregnant.png
LC-026	Pregnancy	Before you arrived	Pregnancy Monthly	Four months pregnant	Month 4	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 4	calm	dusty cream	T03 Month Marker	Core	026_pregnancy_four_months_pregnant.png
LC-027	Pregnancy	Before you arrived	Pregnancy Monthly	Five months pregnant	Month 5	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 5	calm	dusty cream	T03 Month Marker	Core	027_pregnancy_five_months_pregnant.png
LC-028	Pregnancy	Before you arrived	Pregnancy Monthly	Six months pregnant	Month 6	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 6	calm	dusty cream	T03 Month Marker	Core	028_pregnancy_six_months_pregnant.png
LC-029	Pregnancy	Before you arrived	Pregnancy Monthly	Seven months pregnant	Month 7	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 7	calm	dusty cream	T03 Month Marker	Core	029_pregnancy_seven_months_pregnant.png
LC-030	Pregnancy	Before you arrived	Pregnancy Monthly	Eight months pregnant	Month 8	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 8	calm	dusty cream	T03 Month Marker	Core	030_pregnancy_eight_months_pregnant.png
LC-031	Pregnancy	Before you arrived	Pregnancy Monthly	Nine months pregnant	Month 9	Mama + Papa	mama bear with subtly growing pregnancy belly, papa bear nearby with gentle supportive pose, monthly keepsake mood 9	calm	dusty cream	T03 Month Marker	Core	031_pregnancy_nine_months_pregnant.png
LC-032	Pregnancy	Before you arrived	Countdown	First trimester	Weeks 1-13	Mama + Papa	tender pregnancy countdown scene for 'first trimester' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	032_pregnancy_first_trimester.png
LC-033	Pregnancy	Before you arrived	Countdown	Second trimester	Weeks 14-27	Mama + Papa	tender pregnancy countdown scene for 'second trimester' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	033_pregnancy_second_trimester.png
LC-034	Pregnancy	Before you arrived	Countdown	Third trimester	Weeks 28-birth	Mama + Papa	tender pregnancy countdown scene for 'third trimester' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	034_pregnancy_third_trimester.png
LC-035	Pregnancy	Before you arrived	Countdown	100 days to go	Approx week 26	Mama + Papa	tender pregnancy countdown scene for '100 days to go' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	035_pregnancy_100_days_to_go.png
LC-036	Pregnancy	Before you arrived	Countdown	50 days to go	Approx week 33	Mama + Papa	tender pregnancy countdown scene for '50 days to go' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	036_pregnancy_50_days_to_go.png
LC-037	Pregnancy	Before you arrived	Countdown	30 days to go	Approx week 35	Mama + Papa	tender pregnancy countdown scene for '30 days to go' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	037_pregnancy_30_days_to_go.png
LC-038	Pregnancy	Before you arrived	Countdown	10 days to go	Final weeks	Mama + Papa	tender pregnancy countdown scene for '10 days to go' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	038_pregnancy_10_days_to_go.png
LC-039	Pregnancy	Before you arrived	Countdown	Due date today	Due date	Mama + Papa	tender pregnancy countdown scene for 'due date today' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	039_pregnancy_due_date_today.png
LC-040	Pregnancy	Before you arrived	Countdown	Any day now	Final days	Mama + Papa	tender pregnancy countdown scene for 'any day now' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	040_pregnancy_any_day_now.png
LC-041	Pregnancy	Before you arrived	Countdown	Last bump photo	Final days	Mama + Papa	tender pregnancy countdown scene for 'last bump photo' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	041_pregnancy_last_bump_photo.png
LC-042	Pregnancy	Before you arrived	Countdown	Our final days as two	Final days	Mama + Papa	tender pregnancy countdown scene for 'our final days as two' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	042_pregnancy_our_final_days_as_two.png
LC-043	Pregnancy	Before you arrived	Countdown	Ready to meet you	Final days	Mama + Papa	tender pregnancy countdown scene for 'ready to meet you' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	043_pregnancy_ready_to_meet_you.png
LC-044	Pregnancy	Before you arrived	Countdown	Waiting for you	Final days	Mama + Papa	tender pregnancy countdown scene for 'waiting for you' with moon, small stars and eucalyptus accents	anticipation	warm oat	T04 Countdown	Core	044_pregnancy_waiting_for_you.png
LC-045	Pregnancy	Before you arrived	Celebration	We announced you	Weeks 12-20	Mama + Papa	mama and papa bear under gentle celebratory sparkles	joyful	soft blush	T05 Celebration	Core	045_pregnancy_we_announced_you.png
LC-046	Pregnancy	Before you arrived	Celebration	Gender reveal day	Anytime	Mama + Papa	mama and papa bear holding a sealed blank envelope, no symbols or text	joyful	soft blush	T05 Celebration	Core	046_pregnancy_gender_reveal_day.png
LC-047	Pregnancy	Before you arrived	Celebration	It's a boy	Anytime	Mama + Papa	parent bears with soft blue-neutral ribbon accents, no text	joyful	soft blush	T05 Celebration	Core	047_pregnancy_it_s_a_boy.png
LC-048	Pregnancy	Before you arrived	Celebration	It's a girl	Anytime	Mama + Papa	parent bears with dusty-rose ribbon accents, no text	joyful	soft blush	T05 Celebration	Core	048_pregnancy_it_s_a_girl.png
LC-049	Pregnancy	Before you arrived	Celebration	Baby shower day	Third trimester	Mama + Papa	mama and papa bear surrounded by soft gift boxes and eucalyptus	joyful	soft blush	T05 Celebration	Core	049_pregnancy_baby_shower_day.png
LC-050	Pregnancy	Before you arrived	Celebration	Blessed by family	Anytime	Mama + Papa	parent bears encircled by tiny heart shapes	joyful	soft blush	T05 Celebration	Core	050_pregnancy_blessed_by_family.png
LC-051	Pregnancy	Before you arrived	Celebration	Nursery planning	Third trimester	Mama + Papa	mama and papa bear beside a tiny crib outline and moon	joyful	soft blush	T05 Celebration	Core	051_pregnancy_nursery_planning.png
LC-052	Pregnancy	Before you arrived	Celebration	Nursery is ready	Third trimester	Mama + Papa	empty cozy crib with mama and papa bear standing nearby	joyful	soft blush	T05 Celebration	Core	052_pregnancy_nursery_is_ready.png
LC-053	Pregnancy	Before you arrived	Celebration	Hospital bag packed	Final month	Mama + Papa	papa bear holding a small soft hospital bag, mama bear smiling	joyful	soft blush	T05 Celebration	Core	053_pregnancy_hospital_bag_packed.png
LC-054	Pregnancy	Before you arrived	Celebration	Maternity photoshoot	Third trimester	Mama + Papa	mama bear in graceful side pose with floral eucalyptus sprig	joyful	soft blush	T05 Celebration	Core	054_pregnancy_maternity_photoshoot.png
LC-055	Baby	Newborn days	Birth & Hospital	I am here	Birth day	Baby cub	newborn cub wrapped in a soft blanket, eyes peacefully closed	peaceful	cream beige	T06 Newborn	Core	055_baby_i_am_here.png
LC-056	Baby	Newborn days	Birth & Hospital	Hello world	Birth day	Baby cub	newborn cub swaddled and centered with tiny moon and star accents	sleepy	cream beige	T06 Newborn	Core	056_baby_hello_world.png
LC-057	Baby	Newborn days	Birth & Hospital	Born today	Birth day	Baby cub	baby cub sleeping on a soft cloud-like blanket	serene	cream beige	T06 Newborn	Core	057_baby_born_today.png
LC-058	Baby	Newborn days	Birth & Hospital	My birth story	Birth day	Baby cub	blank keepsake page mood with tiny sleeping cub and large empty journaling space	quiet	cream beige	T06 Newborn	Core	058_baby_my_birth_story.png
LC-059	Baby	Newborn days	Birth & Hospital	My name is...	Birth day	Baby cub	baby cub beside a blank name-card shape with no writing	curious	cream beige	T06 Newborn	Core	059_baby_my_name_is.png
LC-060	Baby	Newborn days	Birth & Hospital	First family photo	Birth day	Family bears	mama and papa bear gently holding newborn baby cub in center	loving	cream beige	T06 Newborn	Core	060_baby_first_family_photo.png
LC-061	Baby	Newborn days	Birth & Hospital	First cuddle with Mama	Birth day	Mama bear + baby cub	mama bear cradling tiny baby cub close to chest	tender	cream beige	T06 Newborn	Core	061_baby_first_cuddle_with_mama.png
LC-062	Baby	Newborn days	Birth & Hospital	First cuddle with Papa	Birth day	Papa bear + baby cub	papa bear cradling tiny baby cub with protective gentle posture	proud	cream beige	T06 Newborn	Core	062_baby_first_cuddle_with_papa.png
LC-063	Baby	Newborn days	Birth & Hospital	First feed	Newborn	Mama bear + baby cub	mama bear holding baby cub in a nurturing feeding cuddle, subtle bottle/breastfeeding-neutral composition	calm	cream beige	T06 Newborn	Core	063_baby_first_feed.png
LC-064	Baby	Newborn days	Birth & Hospital	First nap	Newborn	Baby cub	baby cub sleeping curled up on soft blanket	sleepy	cream beige	T06 Newborn	Core	064_baby_first_nap.png
LC-065	Baby	Newborn days	Birth & Hospital	Going home today	Hospital discharge	Family bears	mama and papa bear with baby cub and a tiny soft travel bag	happy	cream beige	T06 Newborn	Core	065_baby_going_home_today.png
LC-066	Baby	Newborn days	Birth & Hospital	My first night home	Newborn	Baby cub	baby cub asleep under crescent moon with tiny stars	peaceful	cream beige	T06 Newborn	Core	066_baby_my_first_night_home.png
LC-067	Baby	Newborn days	Birth & Hospital	My first bath	Newborn	Baby cub	baby cub wrapped in soft towel with small water droplet accents	fresh	cream beige	T06 Newborn	Core	067_baby_my_first_bath.png
LC-068	Baby	Newborn days	Birth & Hospital	My first visitors	Newborn	Baby cub	baby cub surrounded by tiny heart shapes and soft sparkle accents	loved	cream beige	T06 Newborn	Core	068_baby_my_first_visitors.png
LC-069	Baby	Newborn days	Birth & Hospital	My first doctor visit	Newborn	Baby cub	baby cub wrapped in blanket with tiny medical bag icon nearby	calm	cream beige	T06 Newborn	Core	069_baby_my_first_doctor_visit.png
LC-070	Baby	Newborn days	Birth & Hospital	My tiny hands	Newborn	Baby cub	baby cub holding tiny paws forward, paw-print inspired composition	sweet	cream beige	T06 Newborn	Core	070_baby_my_tiny_hands.png
LC-071	Baby	Newborn days	Birth & Hospital	My tiny feet	Newborn	Baby cub	baby cub showing tiny feet with dusty-rose paw pads	sweet	cream beige	T06 Newborn	Core	071_baby_my_tiny_feet.png
LC-072	Baby	Newborn days	Birth & Hospital	My hospital bracelet	Newborn	Baby cub	baby cub beside a blank keepsake bracelet shape with no text	keepsake	cream beige	T06 Newborn	Core	072_baby_my_hospital_bracelet.png
LC-073	Baby	Newborn days	Birth & Hospital	My first outfit	Newborn	Baby cub	baby cub beside a tiny onesie shape, no text or logos	cute	cream beige	T06 Newborn	Core	073_baby_my_first_outfit.png
LC-074	Baby	Newborn days	Birth & Hospital	My first blanket	Newborn	Baby cub	baby cub wrapped in a soft patterned blanket, no text	cozy	cream beige	T06 Newborn	Core	074_baby_my_first_blanket.png
LC-075	Baby	Newborn days	Day & Week Markers	One day old	Day 1	Baby cub	newborn baby cub in a simple calm pose for one day old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	075_baby_one_day_old.png
LC-076	Baby	Newborn days	Day & Week Markers	Two days old	Day 2	Baby cub	newborn baby cub in a simple calm pose for two days old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	076_baby_two_days_old.png
LC-077	Baby	Newborn days	Day & Week Markers	Three days old	Day 3	Baby cub	newborn baby cub in a simple calm pose for three days old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	077_baby_three_days_old.png
LC-078	Baby	Newborn days	Day & Week Markers	Four days old	Day 4	Baby cub	newborn baby cub in a simple calm pose for four days old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	078_baby_four_days_old.png
LC-079	Baby	Newborn days	Day & Week Markers	Five days old	Day 5	Baby cub	newborn baby cub in a simple calm pose for five days old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	079_baby_five_days_old.png
LC-080	Baby	Newborn days	Day & Week Markers	Six days old	Day 6	Baby cub	newborn baby cub in a simple calm pose for six days old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	080_baby_six_days_old.png
LC-081	Baby	Newborn days	Day & Week Markers	One week old	Week 1	Baby cub	newborn baby cub in a simple calm pose for one week old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	081_baby_one_week_old.png
LC-082	Baby	Newborn days	Day & Week Markers	Two weeks old	Week 2	Baby cub	newborn baby cub in a simple calm pose for two weeks old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	082_baby_two_weeks_old.png
LC-083	Baby	Newborn days	Day & Week Markers	Three weeks old	Week 3	Baby cub	newborn baby cub in a simple calm pose for three weeks old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	083_baby_three_weeks_old.png
LC-084	Baby	Newborn days	Day & Week Markers	Four weeks old	Week 4	Baby cub	newborn baby cub in a simple calm pose for four weeks old milestone, with minimal eucalyptus and sparkles	sleepy	pale sage	T07 Age Marker	Core	084_baby_four_weeks_old.png
LC-085	Baby	Newborn days	Newborn Journal	Today I weighed...	Newborn	Baby cub	baby cub with large empty space for journaling, theme: today i weighed...	gentle	warm cream	T08 Journal	Core	085_baby_today_i_weighed.png
LC-086	Baby	Newborn days	Newborn Journal	Today I measured...	Newborn	Baby cub	baby cub with large empty space for journaling, theme: today i measured...	gentle	warm cream	T08 Journal	Core	086_baby_today_i_measured.png
LC-087	Baby	Newborn days	Newborn Journal	Today I changed so much	Newborn	Baby cub	baby cub with large empty space for journaling, theme: today i changed so much	gentle	warm cream	T08 Journal	Core	087_baby_today_i_changed_so_much.png
LC-088	Baby	Newborn days	Newborn Journal	My first smiley photo	Newborn	Baby cub	baby cub with large empty space for journaling, theme: my first smiley photo	gentle	warm cream	T08 Journal	Core	088_baby_my_first_smiley_photo.png
LC-089	Baby	Newborn days	Newborn Journal	My first sleepy photo	Newborn	Baby cub	baby cub with large empty space for journaling, theme: my first sleepy photo	gentle	warm cream	T08 Journal	Core	089_baby_my_first_sleepy_photo.png
LC-090	Baby	Monthly growth	Age Markers	One month old	One month old	Baby cub	baby cub lying on tummy, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	090_baby_one_month_old.png
LC-091	Baby	Monthly growth	Age Markers	Two months old	Two months old	Baby cub	baby cub smiling softly, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	091_baby_two_months_old.png
LC-092	Baby	Monthly growth	Age Markers	Three months old	Three months old	Baby cub	baby cub reaching upward, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	092_baby_three_months_old.png
LC-093	Baby	Monthly growth	Age Markers	Four months old	Four months old	Baby cub	baby cub holding a tiny rattle, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	093_baby_four_months_old.png
LC-094	Baby	Monthly growth	Age Markers	Five months old	Five months old	Baby cub	baby cub sitting upright, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	094_baby_five_months_old.png
LC-095	Baby	Monthly growth	Age Markers	Six months old	Six months old	Baby cub	baby cub playing with soft blocks, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	095_baby_six_months_old.png
LC-096	Baby	Monthly growth	Age Markers	Seven months old	Seven months old	Baby cub	baby cub crawling gently, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	096_baby_seven_months_old.png
LC-097	Baby	Monthly growth	Age Markers	Eight months old	Eight months old	Baby cub	baby cub clapping paws, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	097_baby_eight_months_old.png
LC-098	Baby	Monthly growth	Age Markers	Nine months old	Nine months old	Baby cub	baby cub standing with support, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	098_baby_nine_months_old.png
LC-099	Baby	Monthly growth	Age Markers	Ten months old	Ten months old	Baby cub	baby cub peeking from blanket, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	099_baby_ten_months_old.png
LC-100	Baby	Monthly growth	Age Markers	Eleven months old	Eleven months old	Baby cub	baby cub waving gently, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	100_baby_eleven_months_old.png
LC-101	Baby	Monthly growth	Age Markers	One year old	One year old	Baby cub	baby cub with tiny birthday cake, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	101_baby_one_year_old.png
LC-102	Baby	Monthly growth	Age Markers	Thirteen months old	Thirteen months old	Baby cub	baby cub walking with small toy, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	102_baby_thirteen_months_old.png
LC-103	Baby	Monthly growth	Age Markers	Fourteen months old	Fourteen months old	Baby cub	baby cub holding a board book, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	103_baby_fourteen_months_old.png
LC-104	Baby	Monthly growth	Age Markers	Fifteen months old	Fifteen months old	Baby cub	baby cub stacking soft blocks, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	104_baby_fifteen_months_old.png
LC-105	Baby	Monthly growth	Age Markers	Sixteen months old	Sixteen months old	Baby cub	baby cub hugging blanket, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	105_baby_sixteen_months_old.png
LC-106	Baby	Monthly growth	Age Markers	Seventeen months old	Seventeen months old	Baby cub	baby cub pointing at a leaf, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	106_baby_seventeen_months_old.png
LC-107	Baby	Monthly growth	Age Markers	Eighteen months old	Eighteen months old	Baby cub	baby cub carrying teddy, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	107_baby_eighteen_months_old.png
LC-108	Baby	Monthly growth	Age Markers	Nineteen months old	Nineteen months old	Baby cub	baby cub running tiny steps, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	108_baby_nineteen_months_old.png
LC-109	Baby	Monthly growth	Age Markers	Twenty months old	Twenty months old	Baby cub	baby cub exploring a toy basket, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	109_baby_twenty_months_old.png
LC-110	Baby	Monthly growth	Age Markers	Twenty-one months old	Twenty-one months old	Baby cub	baby cub dancing softly, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	110_baby_twenty_one_months_old.png
LC-111	Baby	Monthly growth	Age Markers	Twenty-two months old	Twenty-two months old	Baby cub	baby cub holding a crayon, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	111_baby_twenty_two_months_old.png
LC-112	Baby	Monthly growth	Age Markers	Twenty-three months old	Twenty-three months old	Baby cub	baby cub wearing tiny shoes, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	112_baby_twenty_three_months_old.png
LC-113	Baby	Monthly growth	Age Markers	Two years old	Two years old	Baby cub	baby cub celebrating with subtle party hat, matching monthly growth card mood	happy	muted pastel	T03 Month Marker	Core	113_baby_two_years_old.png
LC-114	Baby	Monthly growth	Age Extras	I am one	12 months	Baby cub	baby cub with tiny cake and one soft candle shape without number	happy	dusty cream	T09 Summary	Core	114_baby_i_am_one.png
LC-115	Baby	Monthly growth	Age Extras	My first birthday	12 months	Baby cub	baby cub with party hat, tiny cake and soft confetti sparkles	happy	dusty cream	T09 Summary	Core	115_baby_my_first_birthday.png
LC-116	Baby	Monthly growth	Age Extras	I am two	24 months	Baby cub	toddler cub standing proudly with tiny party hat and soft balloon shapes	happy	dusty cream	T09 Summary	Core	116_baby_i_am_two.png
LC-117	Baby	Monthly growth	Age Extras	My second birthday	24 months	Baby cub	toddler cub clapping near a small cake with no readable writing	happy	dusty cream	T09 Summary	Core	117_baby_my_second_birthday.png
LC-118	Baby	Monthly growth	Age Extras	Look how I've grown	Any month	Baby cub	baby cub beside soft height-mark style lines with no numbers	happy	dusty cream	T09 Summary	Core	118_baby_look_how_i_ve_grown.png
LC-119	Baby	Monthly growth	Age Extras	My monthly photo	Any month	Baby cub	baby cub beside blank photo-frame shape with no text	happy	dusty cream	T09 Summary	Core	119_baby_my_monthly_photo.png
LC-120	Baby	Monthly growth	Age Extras	My favourite toy	Any month	Baby cub	baby cub hugging a soft plush toy	happy	dusty cream	T09 Summary	Core	120_baby_my_favourite_toy.png
LC-121	Baby	Monthly growth	Age Extras	My favourite food	Any month	Baby cub	baby cub beside tiny bowl and spoon	happy	dusty cream	T09 Summary	Core	121_baby_my_favourite_food.png
LC-122	Baby	Monthly growth	Age Extras	My favourite word	Any month	Baby cub	baby cub with blank speech-bubble shape, no text	happy	dusty cream	T09 Summary	Core	122_baby_my_favourite_word.png
LC-123	Baby	Monthly growth	Age Extras	My little personality	Any month	Baby cub	baby cub sitting with playful gentle expression	happy	dusty cream	T09 Summary	Core	123_baby_my_little_personality.png
LC-124	Baby	Firsts	Developmental Firsts	I smiled	0-3 months	Baby cub	baby cub with small soft closed-mouth smile	calm smile	muted cream	T10 Firsts	Core	124_baby_i_smiled.png
LC-125	Baby	Firsts	Developmental Firsts	I laughed	2-5 months	Baby cub	baby cub giggling with eyes softly curved and mouth slightly open	giggling	muted cream	T10 Firsts	Core	125_baby_i_laughed.png
LC-126	Baby	Firsts	Developmental Firsts	I rolled over	3-6 months	Baby cub	baby cub rolling on a soft blanket	playful	muted cream	T10 Firsts	Core	126_baby_i_rolled_over.png
LC-127	Baby	Firsts	Developmental Firsts	I held my head up	2-5 months	Baby cub	baby cub on tummy holding head up proudly	proud	muted cream	T10 Firsts	Core	127_baby_i_held_my_head_up.png
LC-128	Baby	Firsts	Developmental Firsts	I sat up	4-8 months	Baby cub	baby cub sitting upright proudly	proud	muted cream	T10 Firsts	Core	128_baby_i_sat_up.png
LC-129	Baby	Firsts	Developmental Firsts	I crawled today	6-10 months	Baby cub	baby cub crawling gently forward	curious	muted cream	T10 Firsts	Core	129_baby_i_crawled_today.png
